"Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","market_value_2021","market_value_2022"
"Alavés","La Liga","Martin Agirregabiria","ESP","DF","25",1996,24,17,1616,18,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15,57,40,0,0.06,0.06,0,0.06,0.01,0.04,0.05,0.01,0.05,0,4,0,0,0.22,0,0,NA,19.1,0,0,0,0.04,-0.2,-0.2,547,792,69.1,9008,4537,279,349,79.9,216,294,73.5,44,110,40,0.7,0.7,0.3,14,51,20,12,57,792,610,179,6,0,5,45,172,1,0,0,0,547,3,16,32,1.78,25,3,2,0,2,0,3,0.17,2,0,1,0,0,0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0,966,43,298,448,227,12,966,19,14,73.7,5,26.3,429,1647,869,15,19,1,22,8,465,40,24,1616,67,47.3,18,17,83,11,7,28,13,0.96,13,31,-18,-1,-0.2,16.7,26.7,-10.1,-0.56,-0.08,0,24,22,1,45,22,0,1,0,79,31,27,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000000,2500000
"Alavés","La Liga","Rubén Duarte","ESP","DF","25",1995,34,31,2621,29.1,0,4,4,0,0,0,12,1,0.4,0.4,2.5,2.8,35,85,46,0,0.14,0.14,0,0.14,0.01,0.09,0.1,0.01,0.1,0,9,3,33.3,0.31,0.1,0,0,23.8,0,0,0,0.04,-0.4,-0.4,897,1352,66.3,15269,7747,439,510,86.1,351,495,70.9,90,265,34,2.5,2.6,1.5,22,77,25,16,85,1352,1003,338,25,1,8,119,299,13,9,3,0,897,11,32,58,1.99,36,16,0,0,3,3,5,0.17,3,1,0,0,1,0,76,47,43,27,6,43,85,50.6,42,40,6,34,57,133,82,0,1676,101,535,737,415,16,1676,9,5,55.6,4,44.4,679,2885,1414,35,31,2,20,7,695,46,34,2621,77,76.6,29.1,31,83,19,3,13,0,0.91,25,44,-19,-0.65,1.04,30.1,40,-9.9,-0.34,0.77,1,45,40,2,119,47,1,1,0,163,54,37,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000000,3000000
"Alavés","La Liga","Gonzalo Escalante","ARG","MF","28",1993,17,15,1300,14.4,5,0,5,5,0,0,8,1,3.2,3.2,0.2,3.4,7,41,15,0.35,0,0.35,0.35,0.35,0.22,0.01,0.23,0.22,0.23,5,16,9,56.3,1.11,0.62,0.31,0.56,12.2,0,0,0,0.2,1.8,1.8,265,399,66.4,4139,1281,145,190,76.3,82,122,67.2,20,43,46.5,0.2,0.2,-0.2,7,42,3,0,41,399,395,3,0,0,3,3,0,0,0,0,0,265,1,10,18,1.25,13,0,0,4,1,0,3,0.21,1,0,0,1,1,0,30,14,9,20,1,13,34,38.2,21,27,2,25,21,51,28,0,582,37,136,335,115,24,582,9,7,77.8,2,22.2,216,788,372,7,3,0,14,14,255,15,17,1300,76,38,14.4,15,81,6,2,40,0,0.88,14,26,-12,-0.83,0.1,16,21.9,-5.9,-0.41,0.18,1,25,23,3,3,14,1,0,0,93,34,23,59.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200000,2500000
"Alavés","La Liga","Manu García","ESP","MF","23",1998,24,10,1077,12,0,1,1,0,0,0,3,0,0.3,0.3,1.1,1.4,23,79,30,0,0.08,0.08,0,0.08,0.03,0.09,0.12,0.03,0.12,0,8,1,12.5,0.67,0.08,0,0,22.7,0,0,0,0.04,-0.3,-0.3,437,578,75.6,8330,2818,207,240,86.3,150,179,83.8,72,131,55,1.1,1.7,-0.1,19,72,13,4,79,578,502,73,40,2,22,43,6,19,7,7,1,437,3,12,47,3.92,26,14,3,1,2,1,4,0.33,2,1,1,0,0,0,18,9,6,9,3,9,27,33.3,18,8,2,6,13,31,4,0,693,9,92,412,202,9,693,45,32,71.1,13,28.9,427,2227,1031,23,13,4,31,22,462,30,24,1077,45,31.5,12,10,75,3,14,24,13,0.83,9,15,-6,-0.5,0.57,11,15.7,-4.7,-0.39,0.18,0,24,33,0,43,9,0,0,0,81,3,10,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000000,3000000
"Alavés","La Liga","Saúl García","ESP","MF","26",1994,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,1,3,33.3,32,10,0,0,NA,0,1,0,1,2,50,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,5,1,4,0,1,0,5,0,0,NA,0,NA,0,0,0,0,0,0,0,0,1,0,1,4,4,0.1,0,0,NA,0,1,4,21,3,0,0,0,0,0.9,0,0.2,-0.2,-4.23,-3.71,0,0,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700000,600000
"Alavés","La Liga","John Guidetti","SWE","FW,MF","29",1992,10,2,279,3.1,0,0,0,0,0,0,2,0,1,1,0.2,1.1,1,3,21,0,0,0,0,0,0.31,0.06,0.37,0.31,0.37,0,10,2,20,3.23,0.65,0,0,15.6,1,0,0,0.1,-1,-1,54,75,72,618,111,37,44,84.1,8,13,61.5,2,3,66.7,0.2,0.3,-0.2,4,4,0,0,3,75,70,4,0,0,0,4,0,0,0,0,0,54,1,3,11,3.55,5,0,2,1,2,1,2,0.65,1,0,0,0,1,0,2,1,0,0,2,0,1,0,1,1,0,1,0,2,0,0,103,0,4,39,61,15,103,6,4,66.7,2,33.3,55,208,70,1,3,1,6,2,74,21,10,279,28,8.2,3.1,2,60,0,8,20,14,0.3,3,7,-4,-1.29,-0.43,3.9,4.6,-0.7,-0.22,0.33,0,9,3,3,4,1,1,0,0,7,1,6,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,1000000
"Alavés","La Liga","Jason","ESP","MF,FW","27",1994,14,10,678,7.5,0,1,1,0,0,0,1,0,0.9,0.9,1.7,2.6,11,10,31,0,0.13,0.13,0,0.13,0.13,0.22,0.35,0.13,0.35,0,9,2,22.2,1.19,0.27,0,0,21.4,1,0,0,0.1,-0.9,-0.9,112,218,51.4,2070,872,49,68,72.1,41,70,58.6,16,57,28.1,1.7,1.3,-0.7,17,6,7,7,10,218,159,57,28,1,1,61,2,24,12,9,0,112,2,10,33,4.38,15,13,3,0,2,0,3,0.4,1,1,0,0,1,0,11,7,6,4,1,7,20,35,13,7,0,7,7,18,5,0,299,4,52,98,155,10,299,18,5,27.8,13,72.2,125,783,366,11,9,2,13,7,149,31,14,678,48,19.8,7.5,10,63,1,4,12,5,1,6,10,-4,-0.53,0.45,8.2,11.5,-3.3,-0.43,0.11,0,13,13,0,61,7,0,1,0,37,9,16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500000,2500000
"Alavés","La Liga","Joselu","ESP","FW","31",1990,37,35,3122,34.7,14,4,18,8,6,7,0,0,12.9,7.4,4.5,11.9,27,108,137,0.4,0.12,0.52,0.23,0.35,0.37,0.13,0.5,0.21,0.34,14,90,33,36.7,2.59,0.95,0.09,0.24,18.6,5,6,7,0.08,1.1,0.6,657,1104,59.5,9048,2171,408,606,67.3,183,317,57.7,34,69,49.3,4.5,3.6,-0.5,35,73,18,4,108,1104,1049,45,0,5,8,31,11,2,0,0,0,657,10,25,83,2.39,52,1,4,15,11,0,9,0.26,6,0,1,1,1,0,16,11,1,9,6,7,25,28,18,21,4,17,7,23,45,0,1483,51,109,733,647,159,1476,51,18,35.3,33,64.7,691,2177,604,27,19,19,79,34,1156,137,37,3122,84,91.3,34.7,35,87,30,2,38,0,0.84,30,58,-28,-0.81,1,35.7,50.5,-14.9,-0.43,1.05,0,43,57,11,31,11,2,0,0,87,281,132,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000000,5000000
"Alavés","La Liga","Víctor Laguardia","ESP","DF","31",1989,34,34,3042,33.8,3,2,5,3,0,0,9,0,2,2,0.9,2.9,2,72,3,0.09,0.06,0.15,0.09,0.15,0.06,0.03,0.09,0.06,0.09,3,13,5,38.5,0.38,0.15,0.23,0.6,9.5,0,0,0,0.15,1,1,930,1246,74.6,21654,9853,241,284,84.9,492,580,84.8,193,353,54.7,0.9,0.4,1.1,5,75,6,0,72,1246,1155,84,84,0,31,3,0,0,0,0,0,930,7,7,16,0.47,12,3,0,1,0,0,3,0.09,1,1,0,1,0,0,29,16,21,8,0,19,30,63.3,11,36,24,12,27,56,151,1,1546,233,826,698,33,20,1546,0,0,NA,0,NA,710,2582,1121,2,2,0,9,2,749,3,34,3042,89,88.9,33.8,34,89,32,0,NA,2,0.88,31,56,-25,-0.74,1.4,35.3,47.8,-12.6,-0.37,1.34,0,21,6,4,3,16,0,0,0,171,62,47,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000000,2000000
"Alavés","La Liga","Florian Lejeune","FRA","DF","30",1991,30,30,2699,30,0,0,0,0,0,0,9,1,1.5,1.5,0.2,1.7,6,74,4,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,0,22,2,9.1,0.73,0.07,0,0,20.9,6,0,0,0.07,-1.5,-1.5,908,1172,77.5,21891,8978,217,267,81.3,489,556,87.9,192,317,60.6,0.2,0.4,-0.2,5,59,4,0,74,1172,1089,78,76,1,52,3,2,0,0,0,0,908,5,9,12,0.4,10,2,0,0,0,0,1,0.03,1,0,0,0,0,0,33,24,22,10,1,12,20,60,8,30,19,11,31,64,158,0,1489,225,785,661,55,22,1489,6,3,50,3,50,698,3073,1341,6,3,2,10,1,732,4,30,2699,90,78.9,30,30,90,29,0,NA,2,0.83,28,54,-26,-0.87,0.13,31.9,44,-12.2,-0.41,0.54,1,34,5,2,3,24,0,2,0,164,71,43,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500000,2000000
